order_id,customer_id,order_date,payment_method,payment_status,total_amount,discount_applied,order_status
229,459,2024-07-21,Cash on Delivery,Success,315.0,35.0,Returned
230,1997,2024-07-22,Cash on Delivery,Success,28317.0,133.0,Delivered
231,2313,2024-07-22,Credit/Debit Card,Success,2440.0,0.0,Delivered
232,1251,2024-07-23,Cash on Delivery,Success,256.5,13.5,Cancelled
233,859,2024-07-24,Cash on Delivery,Success,50080.0,12520.0,Delivered
234,1427,2024-07-24,Cash on Delivery,Success,23211.0,2579.0,Delivered
235,2290,2024-07-24,Cash on Delivery,Success,3848.0,252.0,Delivered
236,2383,2024-07-24,JazzCash,Success,1976.0,104.0,Delivered
237,486,2024-07-25,Cash on Delivery,Success,256.5,13.5,Delivered
238,871,2024-07-26,Cash on Delivery,Success,4466.0,204.0,Delivered
239,1979,2024-07-27,JazzCash,Success,42251.5,6678.5,Delivered
240,924,2024-07-28,JazzCash,Success,590.0,0.0,Delivered
241,1348,2024-07-28,Cash on Delivery,Success,86740.0,0.0,Delivered
242,1706,2024-07-28,Cash on Delivery,Success,49006.0,11794.0,Returned
243,2353,2024-07-28,Cash on Delivery,Success,39783.5,4376.5,Delivered
244,239,2024-07-29,Easypaisa,Success,60943.0,477.0,Delivered
245,1258,2024-07-29,Cash on Delivery,Success,3171.5,308.5,Delivered
246,2290,2024-07-30,Cash on Delivery,Success,1350.0,0.0,Delivered
247,459,2024-07-31,Cash on Delivery,Success,280.0,70.0,Delivered
248,878,2024-08-01,JazzCash,Success,12958.0,682.0,Delivered
249,1621,2024-08-01,Cash on Delivery,Success,72242.0,158.0,Delivered
250,891,2024-08-02,Cash on Delivery,Success,13640.0,0.0,Returned
251,1942,2024-08-02,Cash on Delivery,Success,2057.0,363.0,Returned
252,2106,2024-08-02,Easypaisa,Success,30840.0,0.0,Delivered
253,181,2024-08-03,Cash on Delivery,Success,3160.0,0.0,Delivered
254,777,2024-08-04,Cash on Delivery,Success,49606.0,8754.0,Cancelled
255,601,2024-08-05,Cash on Delivery,Success,1520.0,0.0,Delivered
256,1973,2024-08-05,Cash on Delivery,Success,2990.0,30.0,Delivered
257,2142,2024-08-05,Cash on Delivery,Success,531.0,59.0,Returned
258,1896,2024-08-10,Easypaisa,Success,42320.0,0.0,Delivered
259,1885,2024-08-11,Cash on Delivery,Success,58672.0,6788.0,Delivered
260,2099,2024-08-11,Cash on Delivery,Success,26742.5,1407.5,Delivered
261,2313,2024-08-14,Cash on Delivery,Success,12430.0,0.0,Delivered
262,2313,2024-08-14,Cash on Delivery,Success,56300.0,0.0,Delivered
263,124,2024-08-15,Cash on Delivery,Success,2440.0,0.0,Delivered
264,2179,2024-08-15,Credit/Debit Card,Success,8512.0,318.0,Delivered
265,299,2024-08-16,Cash on Delivery,Success,27245.0,2815.0,Returned
266,320,2024-08-16,Cash on Delivery,Success,238960.0,0.0,Delivered
267,611,2024-08-16,Credit/Debit Card,Success,4452.0,238.0,Delivered
268,1407,2024-08-16,Cash on Delivery,Success,4050.0,470.0,Delivered
269,56,2024-08-17,Cash on Delivery,Success,48059.0,8481.0,Delivered
270,163,2024-08-17,Credit/Debit Card,Success,40400.0,0.0,Delivered
271,1128,2024-08-17,Cash on Delivery,Success,229.5,40.5,Delivered
272,1406,2024-08-18,Cash on Delivery,Success,5890.0,0.0,Delivered
273,1942,2024-08-18,Cash on Delivery,Success,39400.0,0.0,Delivered
274,200,2024-08-19,JazzCash,Success,26100.0,0.0,Delivered
275,1101,2024-08-19,Cash on Delivery,Success,97762.0,2918.0,Delivered
276,204,2024-08-20,Easypaisa,Success,17363.5,746.5,Delivered
277,1198,2024-08-20,Cash on Delivery,Success,2070.0,0.0,Delivered
278,1045,2024-08-21,Cash on Delivery,Success,24500.5,1289.5,Delivered
279,2198,2024-08-21,Cash on Delivery,Success,1656.0,414.0,Delivered
280,1992,2024-08-22,Easypaisa,Success,43370.0,0.0,Cancelled
281,299,2024-08-23,Cash on Delivery,Success,590.0,0.0,Returned
282,831,2024-08-23,Cash on Delivery,Success,3672.0,408.0,Delivered
283,1171,2024-08-23,Cash on Delivery,Success,3460.0,0.0,Returned
284,1251,2024-08-23,Credit/Debit Card,Success,600.0,0.0,Delivered
285,2128,2024-08-23,Cash on Delivery,Success,28379.5,40.5,Delivered
286,2249,2024-08-23,Cash on Delivery,Success,1580.0,0.0,Delivered
287,2463,2024-08-23,Cash on Delivery,Success,25040.0,6260.0,Returned
288,283,2024-08-24,Cash on Delivery,Success,5082.5,17.5,Delivered
289,710,2024-08-24,Cash on Delivery,Success,560.5,29.5,Delivered
290,1101,2024-08-24,Cash on Delivery,Success,61690.0,0.0,Returned
291,1872,2024-08-24,Cash on Delivery,Success,85177.0,4483.0,Delivered
292,2129,2024-08-24,Cash on Delivery,Success,81957.5,5142.5,Delivered
293,387,2024-08-25,JazzCash,Success,860.0,0.0,Delivered
294,387,2024-08-25,Easypaisa,Success,168292.5,8857.5,Delivered
295,611,2024-08-25,Cash on Delivery,Success,41744.0,366.0,Delivered
296,728,2024-08-25,Easypaisa,Success,81965.5,4204.5,Delivered
297,1278,2024-08-25,Easypaisa,Success,57288.0,14322.0,Delivered
298,1725,2024-08-25,Cash on Delivery,Success,600.0,0.0,Delivered
299,64,2024-08-26,Cash on Delivery,Success,2403.5,126.5,Delivered
300,1296,2024-08-26,Cash on Delivery,Success,27280.0,0.0,Delivered
301,1045,2024-08-27,Easypaisa,Success,12250.0,0.0,Delivered
302,1275,2024-08-27,Cash on Delivery,Success,350.0,0.0,Delivered
303,645,2024-08-28,Credit/Debit Card,Success,202260.0,4950.0,Delivered
304,1159,2024-08-28,Credit/Debit Card,Success,2150.5,379.5,Delivered
305,2316,2024-08-28,Cash on Delivery,Success,3460.0,0.0,Returned
306,752,2024-08-29,Easypaisa,Success,110370.0,0.0,Delivered
307,878,2024-08-29,Cash on Delivery,Success,2272.0,78.0,Returned
308,390,2024-09-01,Cash on Delivery,Success,1872.0,208.0,Delivered
309,943,2024-09-03,Credit/Debit Card,Success,2150.5,379.5,Delivered
310,2289,2024-09-03,Cash on Delivery,Success,30170.0,0.0,Delivered
311,30,2024-09-05,Cash on Delivery,Success,12250.0,0.0,Delivered
312,1186,2024-09-05,Cash on Delivery,Success,6698.0,442.0,Returned
313,1521,2024-09-05,Easypaisa,Success,5570.0,0.0,Delivered
314,799,2024-09-06,JazzCash,Success,270.0,0.0,Delivered
315,1992,2024-09-06,Cash on Delivery,Success,590.0,0.0,Delivered
316,2242,2024-09-06,Cash on Delivery,Success,51885.0,5245.0,Delivered
317,557,2024-09-07,Cash on Delivery,Success,270.0,0.0,Delivered
318,208,2024-09-08,Cash on Delivery,Success,11092.5,1957.5,Delivered
319,1395,2024-09-09,Cash on Delivery,Success,12250.0,0.0,Delivered
320,1985,2024-09-09,Cash on Delivery,Success,280.0,70.0,Delivered
321,459,2024-09-10,Credit/Debit Card,Success,50670.0,5630.0,Delivered
322,1319,2024-09-10,Cash on Delivery,Success,104265.0,11585.0,Delivered
323,2256,2024-09-10,Cash on Delivery,Success,126742.0,7368.0,Delivered
324,860,2024-09-11,Easypaisa,Success,5690.5,299.5,Delivered
325,583,2024-09-12,Cash on Delivery,Success,28950.0,0.0,Delivered
326,645,2024-09-13,Cash on Delivery,Success,32688.5,1891.5,Delivered
327,2161,2024-09-13,Cash on Delivery,Success,12250.0,0.0,Delivered
328,679,2024-09-14,Easypaisa,Success,790.0,0.0,Returned
329,1108,2024-09-14,Cash on Delivery,Success,42814.0,506.0,Delivered
330,1407,2024-09-14,Cash on Delivery,Success,7427.0,173.0,Returned
331,1979,2024-09-14,Cash on Delivery,Success,31300.0,0.0,Cancelled
332,30,2024-09-15,Cash on Delivery,Success,350.0,0.0,Returned
333,1520,2024-09-15,JazzCash,Success,7869.0,121.0,Delivered
334,1942,2024-09-15,Cash on Delivery,Success,2837.5,282.5,Delivered
335,2293,2024-09-15,Cash on Delivery,Success,56540.0,0.0,Delivered
336,459,2024-09-17,Cash on Delivery,Success,1680.0,0.0,Delivered
337,422,2024-09-18,Cash on Delivery,Success,1350.0,0.0,Delivered
338,1658,2024-09-18,Easypaisa,Success,10220.5,379.5,Delivered
339,663,2024-09-19,Cash on Delivery,Success,3460.0,0.0,Delivered
340,589,2024-09-20,Cash on Delivery,Success,1368.0,152.0,Delivered
341,891,2024-09-20,Cash on Delivery,Success,30310.0,0.0,Delivered
342,803,2024-09-21,Cash on Delivery,Success,33490.0,5910.0,Delivered
343,1446,2024-09-21,Cash on Delivery,Success,1080.0,120.0,Delivered
344,1139,2024-09-23,Cash on Delivery,Success,501.5,88.5,Delivered
345,1398,2024-09-23,Credit/Debit Card,Success,1520.0,0.0,Delivered
346,2482,2024-09-23,Cash on Delivery,Success,9794.5,835.5,Delivered
347,1794,2024-09-24,Cash on Delivery,Success,32616.0,4614.0,Returned
348,2097,2024-09-24,Cash on Delivery,Success,112678.0,14782.0,Returned
349,1355,2024-09-25,Cash on Delivery,Success,11745.0,1305.0,Returned
350,645,2024-09-26,Easypaisa,Success,3160.0,0.0,Delivered
351,1370,2024-09-26,Cash on Delivery,Success,20978.0,242.0,Delivered
352,1893,2024-09-26,Cash on Delivery,Success,25790.0,0.0,Delivered
353,1992,2024-09-26,Credit/Debit Card,Success,78039.0,8671.0,Delivered
354,2417,2024-09-26,Cash on Delivery,Success,3763.5,56.5,Returned
355,641,2024-09-27,Cash on Delivery,Success,243.0,27.0,Delivered
356,956,2024-09-27,Cash on Delivery,Success,270.0,0.0,Delivered
357,89,2024-09-28,JazzCash,Success,45040.0,11260.0,Delivered
358,933,2024-09-28,Cash on Delivery,Success,2286.5,403.5,Delivered
359,1186,2024-09-28,Credit/Debit Card,Success,1976.0,104.0,Cancelled
360,1443,2024-09-28,Credit/Debit Card,Success,2440.0,0.0,Delivered
361,2355,2024-09-28,Cash on Delivery,Success,58360.0,0.0,Delivered
362,1825,2024-09-29,Cash on Delivery,Success,122610.0,0.0,Delivered
363,2023,2024-09-29,Cash on Delivery,Success,3160.0,0.0,Returned
364,1101,2024-09-30,Cash on Delivery,Success,53713.0,2827.0,Delivered
365,1171,2024-09-30,Credit/Debit Card,Success,13050.0,0.0,Delivered
366,1339,2024-09-30,Cash on Delivery,Success,51630.0,3940.0,Delivered
367,2184,2024-09-30,Cash on Delivery,Success,54995.5,2894.5,Delivered
368,166,2024-10-01,JazzCash,Success,1080.0,120.0,Delivered
369,327,2024-10-01,Cash on Delivery,Success,107670.0,3940.0,Delivered
370,924,2024-10-01,Easypaisa,Success,1215.0,135.0,Delivered
371,2355,2024-10-01,Cash on Delivery,Success,14930.0,0.0,Delivered
372,2443,2024-10-01,JazzCash,Success,37650.0,5910.0,Delivered
373,894,2024-10-02,JazzCash,Success,3870.5,39.5,Delivered
374,1143,2024-10-02,Cash on Delivery,Success,30310.0,0.0,Delivered
