delivery_id,order_id,courier_partner,shipment_date,delivery_date,delivery_status,delivery_charges,customer_rating,transit_days
25,27,TCS,2024-03-19,2024-03-21,On Time,150,3,2.0
26,28,TCS,2024-03-18,2024-03-19,On Time,150,4,1.0
27,29,Daraz Express (DEX),2024-03-19,2024-03-20,On Time,150,4,1.0
28,31,Daraz Express (DEX),2024-03-20,2024-03-22,Returned to Sender,150,1,2.0
29,32,Daraz Express (DEX),2024-03-21,2024-03-23,On Time,150,5,2.0
30,33,TCS,2024-03-22,2024-03-26,On Time,150,4,4.0
31,34,Daraz Express (DEX),2024-03-23,2024-03-26,On Time,150,4,3.0
32,35,Daraz Express (DEX),2024-03-23,2024-03-25,On Time,150,4,2.0
33,36,Daraz Express (DEX),2024-03-23,2024-03-24,On Time,150,3,1.0
34,37,TCS,2024-03-22,2024-03-26,On Time,150,5,4.0
35,38,Daraz Express (DEX),2024-03-23,2024-03-25,On Time,150,5,2.0
36,39,Daraz Express (DEX),2024-03-23,2024-03-24,On Time,150,4,1.0
37,40,Leopard Courier,2024-03-24,2024-03-26,On Time,150,3,2.0
38,41,Daraz Express (DEX),2024-03-24,2024-03-25,Returned to Sender,150,2,1.0
39,42,TCS,2024-03-25,2024-03-27,On Time,150,4,2.0
40,43,Daraz Express (DEX),2024-03-25,2024-03-26,On Time,150,5,1.0
41,44,Daraz Express (DEX),2024-03-25,2024-03-28,On Time,150,5,3.0
42,45,TCS,2024-03-26,2024-03-28,Returned to Sender,150,3,2.0
43,46,Daraz Express (DEX),2024-03-27,2024-03-30,On Time,150,5,3.0
44,47,TCS,2024-03-26,2024-03-27,On Time,150,4,1.0
45,48,Daraz Express (DEX),2024-03-27,2024-03-28,On Time,150,4,1.0
46,49,Leopard Courier,2024-03-29,2024-04-02,On Time,150,4,4.0
47,50,Daraz Express (DEX),2024-03-28,2024-03-29,On Time,150,5,1.0
48,51,TCS,2024-03-28,2024-03-31,On Time,150,5,3.0
49,52,Daraz Express (DEX),2024-03-30,2024-03-31,On Time,150,4,1.0
50,53,TCS,2024-03-29,2024-03-30,On Time,150,4,1.0
51,54,TCS,2024-03-29,2024-04-01,On Time,150,5,3.0
52,55,Leopard Courier,2024-04-01,2024-04-06,Returned to Sender,150,1,5.0
53,56,TCS,2024-04-01,2024-04-03,On Time,150,4,2.0
54,57,Daraz Express (DEX),2024-03-30,2024-03-31,Returned to Sender,150,1,1.0
55,58,Daraz Express (DEX),2024-04-01,2024-04-02,Returned to Sender,150,1,1.0
56,59,TCS,2024-03-31,2024-04-03,On Time,150,5,3.0
57,60,Leopard Courier,2024-03-31,2024-04-02,On Time,150,4,2.0
58,61,Daraz Express (DEX),2024-03-31,2024-04-01,Returned to Sender,150,2,1.0
59,62,Daraz Express (DEX),2024-04-02,2024-04-04,Returned to Sender,150,3,2.0
60,63,Daraz Express (DEX),2024-04-04,2024-04-06,On Time,150,4,2.0
61,64,Daraz Express (DEX),2024-04-03,2024-04-04,On Time,150,4,1.0
62,65,Daraz Express (DEX),2024-04-02,2024-04-03,On Time,150,5,1.0
63,66,Daraz Express (DEX),2024-04-04,2024-04-07,Returned to Sender,150,1,3.0
64,67,TCS,2024-04-04,2024-04-06,On Time,150,4,2.0
65,68,Daraz Express (DEX),2024-04-07,2024-04-09,On Time,150,5,2.0
66,69,Daraz Express (DEX),2024-04-05,2024-04-06,Returned to Sender,150,1,1.0
67,70,Daraz Express (DEX),2024-04-07,2024-04-10,Returned to Sender,150,2,3.0
68,71,Daraz Express (DEX),2024-04-06,2024-04-08,On Time,150,5,2.0
69,72,Daraz Express (DEX),2024-04-08,2024-04-11,On Time,150,5,3.0
70,73,Leopard Courier,2024-04-08,2024-04-10,On Time,150,4,2.0
71,74,Daraz Express (DEX),2024-04-08,2024-04-10,On Time,150,4,2.0
72,75,Leopard Courier,2024-04-08,2024-04-13,Delayed,150,4,5.0
73,76,TCS,2024-04-09,2024-04-11,Returned to Sender,150,2,2.0
74,77,Daraz Express (DEX),2024-04-11,2024-04-13,Returned to Sender,150,3,2.0
75,78,Leopard Courier,2024-04-12,2024-04-16,On Time,150,4,4.0
76,79,Daraz Express (DEX),2024-04-12,2024-04-13,On Time,150,4,1.0
77,80,TCS,2024-04-12,2024-04-16,On Time,150,4,4.0
78,81,TCS,2024-04-10,2024-04-13,On Time,150,5,3.0
79,82,Daraz Express (DEX),2024-04-12,2024-04-14,On Time,150,4,2.0
80,83,Daraz Express (DEX),2024-04-13,2024-04-15,Returned to Sender,150,2,2.0
81,84,Daraz Express (DEX),2024-04-15,2024-04-18,On Time,150,4,3.0
82,85,TCS,2024-04-14,2024-04-17,On Time,150,4,3.0
83,86,Daraz Express (DEX),2024-04-14,2024-04-15,On Time,150,4,1.0
84,87,Leopard Courier,2024-04-14,2024-04-18,On Time,150,4,4.0
85,88,TCS,2024-04-16,2024-04-23,On Time,250,5,7.0
86,89,TCS,2024-04-18,2024-04-19,On Time,150,4,1.0
87,90,Daraz Express (DEX),2024-04-18,2024-04-19,On Time,150,4,1.0
88,91,Daraz Express (DEX),2024-04-18,2024-04-19,On Time,150,4,1.0
89,92,Daraz Express (DEX),2024-04-20,2024-04-22,On Time,150,4,2.0
90,93,Daraz Express (DEX),2024-04-22,2024-04-23,On Time,150,5,1.0
91,94,TCS,2024-04-22,2024-04-26,On Time,150,4,4.0
92,95,Daraz Express (DEX),2024-04-25,2024-04-26,On Time,150,5,1.0
93,96,Daraz Express (DEX),2024-04-25,2024-04-26,On Time,150,4,1.0
94,97,TCS,2024-04-26,2024-04-30,On Time,150,5,4.0
95,98,Daraz Express (DEX),2024-04-29,2024-05-02,On Time,150,4,3.0
96,99,Leopard Courier,2024-04-29,2024-05-03,On Time,150,5,4.0
97,100,Daraz Express (DEX),2024-04-30,2024-05-06,Returned to Sender,250,1,6.0
98,101,TCS,2024-04-30,2024-05-03,Returned to Sender,150,1,3.0
99,102,Daraz Express (DEX),2024-05-02,2024-05-04,Returned to Sender,150,1,2.0
100,103,Daraz Express (DEX),2024-05-02,2024-05-03,On Time,150,4,1.0
101,104,Daraz Express (DEX),2024-05-02,2024-05-03,On Time,150,3,1.0
102,105,TCS,2024-05-03,2024-05-06,On Time,150,4,3.0
103,106,Daraz Express (DEX),2024-05-04,2024-05-05,On Time,150,4,1.0
104,107,Daraz Express (DEX),2024-05-06,2024-05-07,On Time,150,5,1.0
105,108,Daraz Express (DEX),2024-05-07,2024-05-09,Returned to Sender,150,1,2.0
106,109,Daraz Express (DEX),2024-05-07,2024-05-10,On Time,150,5,3.0
107,110,Daraz Express (DEX),2024-05-07,2024-05-10,On Time,150,4,3.0
108,111,Daraz Express (DEX),2024-05-06,2024-05-08,On Time,150,4,2.0
109,112,Leopard Courier,2024-05-08,2024-05-13,Delayed,150,4,5.0
110,113,Daraz Express (DEX),2024-05-08,2024-05-10,On Time,150,4,2.0
111,114,Daraz Express (DEX),2024-05-10,2024-05-11,On Time,150,4,1.0
112,115,Daraz Express (DEX),2024-05-11,2024-05-14,On Time,150,5,3.0
113,116,TCS,2024-05-13,2024-05-15,Returned to Sender,150,2,2.0
114,117,Daraz Express (DEX),2024-05-12,2024-05-15,Returned to Sender,250,2,3.0
115,118,Daraz Express (DEX),2024-05-14,2024-05-17,On Time,150,5,3.0
116,119,Daraz Express (DEX),2024-05-13,2024-05-15,On Time,150,4,2.0
117,120,Daraz Express (DEX),2024-05-15,2024-05-16,On Time,150,5,1.0
118,121,TCS,2024-05-15,2024-05-21,On Time,250,4,6.0
119,122,Daraz Express (DEX),2024-05-16,2024-05-17,On Time,150,4,1.0
120,123,Daraz Express (DEX),2024-05-15,2024-05-16,On Time,150,4,1.0
121,124,Daraz Express (DEX),2024-05-17,2024-05-20,On Time,150,4,3.0
122,125,Daraz Express (DEX),2024-05-19,2024-05-22,On Time,150,4,3.0
123,126,Daraz Express (DEX),2024-05-19,2024-05-20,Returned to Sender,150,2,1.0
124,127,Leopard Courier,2024-05-22,2024-05-28,On Time,250,4,6.0
125,128,Daraz Express (DEX),2024-05-21,2024-05-28,On Time,250,4,7.0
126,129,TCS,2024-05-22,2024-05-28,On Time,250,4,6.0
127,130,Daraz Express (DEX),2024-05-23,2024-05-24,On Time,150,5,1.0
128,131,Daraz Express (DEX),2024-05-24,2024-05-25,On Time,150,3,1.0
129,132,Daraz Express (DEX),2024-05-27,2024-05-28,On Time,150,4,1.0
130,133,TCS,2024-05-25,2024-05-27,On Time,150,4,2.0
131,134,TCS,2024-05-26,2024-05-31,On Time,250,4,5.0
132,135,Leopard Courier,2024-05-27,2024-06-03,On Time,250,5,7.0
133,136,Daraz Express (DEX),2024-05-26,2024-05-27,On Time,150,4,1.0
134,137,Daraz Express (DEX),2024-05-28,2024-05-30,On Time,150,5,2.0
135,138,Daraz Express (DEX),2024-05-27,2024-05-28,On Time,150,4,1.0
136,139,Daraz Express (DEX),2024-05-26,2024-05-27,On Time,150,4,1.0
137,140,Daraz Express (DEX),2024-05-27,2024-05-28,On Time,150,4,1.0
138,141,TCS,2024-05-28,2024-06-01,On Time,150,5,4.0
139,142,Daraz Express (DEX),2024-05-28,2024-05-30,On Time,150,4,2.0
140,143,Daraz Express (DEX),2024-05-27,2024-05-30,On Time,150,5,3.0
141,144,Daraz Express (DEX),2024-05-29,2024-05-31,On Time,150,4,2.0
142,145,Leopard Courier,2024-05-30,2024-06-04,Delayed,150,4,5.0
143,146,Daraz Express (DEX),2024-05-30,2024-06-01,On Time,150,4,2.0
144,147,Daraz Express (DEX),2024-05-30,2024-05-31,On Time,150,4,1.0
145,148,Daraz Express (DEX),2024-05-31,2024-06-01,On Time,150,5,1.0
146,149,Daraz Express (DEX),2024-05-31,2024-06-02,On Time,150,4,2.0
147,150,Daraz Express (DEX),2024-06-02,2024-06-04,Returned to Sender,150,1,2.0
148,151,Daraz Express (DEX),2024-06-03,2024-06-04,On Time,150,4,1.0
149,152,TCS,2024-06-04,2024-06-06,On Time,150,5,2.0
150,153,TCS,2024-06-04,2024-06-05,On Time,150,4,1.0
151,154,Daraz Express (DEX),2024-06-04,2024-06-06,On Time,150,4,2.0
152,155,TCS,2024-06-04,2024-06-05,Returned to Sender,150,1,1.0
153,156,Daraz Express (DEX),2024-06-05,,On Time,150,4,
154,157,Daraz Express (DEX),2024-06-06,2024-06-07,On Time,150,4,1.0
155,158,Daraz Express (DEX),2024-06-07,2024-06-08,On Time,150,4,1.0
156,159,Daraz Express (DEX),2024-06-07,2024-06-10,On Time,150,4,3.0
157,160,Daraz Express (DEX),2024-06-10,2024-06-12,On Time,150,4,2.0
158,161,Daraz Express (DEX),2024-06-09,2024-06-11,Returned to Sender,150,1,2.0
159,162,TCS,2024-06-09,2024-06-12,On Time,150,5,3.0
160,163,Leopard Courier,2024-06-12,2024-06-16,On Time,150,4,4.0
161,164,Daraz Express (DEX),2024-06-11,2024-06-12,On Time,150,4,1.0
162,165,Daraz Express (DEX),2024-06-13,2024-06-15,On Time,150,4,2.0
163,166,Daraz Express (DEX),2024-06-12,2024-06-13,On Time,150,5,1.0
164,167,Daraz Express (DEX),2024-06-15,2024-06-18,On Time,150,5,3.0
165,168,Daraz Express (DEX),2024-06-15,2024-06-16,On Time,150,5,1.0
166,169,Daraz Express (DEX),2024-06-15,2024-06-18,On Time,150,5,3.0
167,170,Daraz Express (DEX),2024-06-17,2024-06-19,On Time,150,5,2.0
168,171,Leopard Courier,2024-06-16,2024-06-26,Delayed,250,1,10.0
169,172,TCS,2024-06-15,2024-06-18,On Time,150,4,3.0
170,173,Leopard Courier,2024-06-18,2024-06-21,On Time,150,4,3.0
171,174,Daraz Express (DEX),2024-06-19,2024-06-21,On Time,150,4,2.0
172,175,TCS,2024-06-20,2024-06-24,On Time,150,5,4.0
173,176,Daraz Express (DEX),2024-06-19,2024-06-21,On Time,150,4,2.0
174,177,Daraz Express (DEX),2024-06-20,2024-06-21,On Time,150,4,1.0
175,178,TCS,2024-06-20,2024-06-22,On Time,150,3,2.0
176,179,Daraz Express (DEX),2024-06-22,2024-06-24,On Time,150,5,2.0
177,180,Daraz Express (DEX),2024-06-23,2024-06-26,On Time,150,4,3.0
178,181,Leopard Courier,2024-06-22,2024-06-26,On Time,150,3,4.0
179,182,Daraz Express (DEX),2024-06-25,2024-06-28,On Time,150,5,3.0
180,183,Leopard Courier,2024-06-25,2024-06-30,Delayed,150,3,5.0
181,184,TCS,2024-06-25,2024-06-27,On Time,150,4,2.0
182,185,Daraz Express (DEX),2024-06-27,2024-06-28,On Time,150,4,1.0
183,186,TCS,2024-06-28,2024-07-01,On Time,250,4,3.0
184,187,Daraz Express (DEX),2024-06-27,2024-06-29,Returned to Sender,150,1,2.0
185,188,TCS,2024-06-29,2024-07-02,Returned to Sender,150,2,3.0
186,189,Daraz Express (DEX),2024-06-29,2024-06-30,On Time,150,4,1.0
187,190,Daraz Express (DEX),2024-06-29,2024-06-30,On Time,150,4,1.0
188,192,Daraz Express (DEX),2024-07-01,,On Time,150,5,
189,193,TCS,2024-07-03,2024-07-06,On Time,150,3,3.0
190,194,Daraz Express (DEX),2024-07-01,2024-07-02,On Time,150,4,1.0
191,196,TCS,2024-07-03,2024-07-06,On Time,150,5,3.0
192,197,Daraz Express (DEX),2024-07-02,2024-07-03,On Time,150,3,1.0
193,198,Daraz Express (DEX),2024-07-03,2024-07-06,On Time,150,4,3.0
194,200,TCS,2024-07-05,2024-07-13,Delayed,250,1,8.0
195,201,Daraz Express (DEX),2024-07-06,2024-07-08,On Time,150,4,2.0
196,202,Daraz Express (DEX),2024-07-05,2024-07-06,On Time,150,5,1.0
197,203,TCS,2024-07-05,2024-07-07,On Time,150,5,2.0
198,204,TCS,2024-07-09,2024-07-13,On Time,150,5,4.0
199,206,Daraz Express (DEX),2024-07-07,2024-07-09,On Time,150,4,2.0
200,207,Daraz Express (DEX),2024-07-07,2024-07-09,On Time,150,4,2.0
201,208,Daraz Express (DEX),2024-07-10,2024-07-13,Returned to Sender,150,1,3.0
202,209,TCS,2024-07-12,2024-07-14,On Time,150,4,2.0
203,210,Daraz Express (DEX),2024-07-12,2024-07-13,On Time,150,3,1.0
204,211,Daraz Express (DEX),2024-07-12,2024-07-13,On Time,150,5,1.0
205,212,Daraz Express (DEX),2024-07-11,2024-07-14,On Time,150,5,3.0
206,213,Daraz Express (DEX),2024-07-13,2024-07-14,On Time,150,4,1.0
207,214,Daraz Express (DEX),2024-07-13,2024-07-17,Returned to Sender,250,1,4.0
208,215,TCS,2024-07-15,2024-07-23,Delayed,250,4,8.0
209,216,Daraz Express (DEX),2024-07-17,2024-07-18,On Time,150,5,1.0
210,217,Daraz Express (DEX),2024-07-15,2024-07-17,On Time,150,4,2.0
211,218,Leopard Courier,2024-07-16,2024-07-19,On Time,150,5,3.0
212,219,Daraz Express (DEX),2024-07-17,2024-07-18,On Time,150,5,1.0
213,220,TCS,2024-07-17,2024-07-20,Returned to Sender,150,2,3.0
214,221,Daraz Express (DEX),2024-07-19,2024-07-20,On Time,150,5,1.0
215,222,TCS,2024-07-20,2024-07-23,On Time,150,3,3.0
216,223,Daraz Express (DEX),2024-07-18,2024-07-21,On Time,150,4,3.0
217,224,Daraz Express (DEX),2024-07-18,2024-07-20,Returned to Sender,150,2,2.0
218,225,Daraz Express (DEX),2024-07-21,2024-07-22,On Time,150,5,1.0
219,226,Leopard Courier,2024-07-19,2024-07-24,Delayed,150,1,5.0
220,227,Daraz Express (DEX),2024-07-21,2024-07-23,On Time,150,4,2.0
221,228,Daraz Express (DEX),2024-07-22,2024-07-23,On Time,150,5,1.0
222,229,Daraz Express (DEX),2024-07-22,2024-07-23,Returned to Sender,150,2,1.0
223,230,TCS,2024-07-23,2024-07-27,On Time,150,3,4.0
224,231,TCS,2024-07-23,2024-07-26,On Time,150,4,3.0
225,232,TCS,2024-07-24,,On Time,150,4,
226,233,Daraz Express (DEX),2024-07-25,2024-07-28,On Time,150,5,3.0
227,234,Daraz Express (DEX),2024-07-26,2024-07-27,On Time,150,4,1.0
228,235,Leopard Courier,2024-07-25,2024-07-29,On Time,150,4,4.0
229,236,Daraz Express (DEX),2024-07-24,2024-07-26,On Time,150,4,2.0
230,237,Daraz Express (DEX),2024-07-27,2024-07-28,On Time,150,4,1.0
231,238,Leopard Courier,2024-07-26,2024-08-02,On Time,250,4,7.0
232,239,TCS,2024-07-27,2024-07-31,On Time,250,4,4.0
233,240,Daraz Express (DEX),2024-07-29,2024-07-30,On Time,150,5,1.0
234,241,TCS,2024-07-30,2024-08-06,On Time,250,5,7.0
235,242,TCS,2024-07-29,2024-08-02,Returned to Sender,150,1,4.0
236,243,Daraz Express (DEX),2024-07-29,2024-07-30,On Time,150,3,1.0
237,244,TCS,2024-07-29,2024-08-01,On Time,150,5,3.0
238,245,Leopard Courier,2024-07-30,2024-08-03,On Time,150,3,4.0
239,246,Daraz Express (DEX),2024-08-01,2024-08-04,On Time,150,5,3.0
240,247,Daraz Express (DEX),2024-07-31,2024-08-03,On Time,150,4,3.0
241,248,Daraz Express (DEX),2024-08-02,2024-08-03,On Time,150,3,1.0
242,249,Daraz Express (DEX),2024-08-03,2024-08-04,On Time,150,4,1.0
243,250,Daraz Express (DEX),2024-08-02,2024-08-03,Returned to Sender,150,2,1.0
244,251,Daraz Express (DEX),2024-08-03,2024-08-05,Returned to Sender,150,2,2.0
245,252,Leopard Courier,2024-08-02,2024-08-07,Delayed,150,3,5.0
246,253,Daraz Express (DEX),2024-08-03,2024-08-06,On Time,150,5,3.0
247,255,Daraz Express (DEX),2024-08-07,2024-08-08,On Time,150,4,1.0
248,256,TCS,2024-08-06,2024-08-16,Delayed,250,1,10.0
249,257,Daraz Express (DEX),2024-08-06,2024-08-10,Returned to Sender,250,3,4.0
250,258,Leopard Courier,2024-08-12,2024-08-14,On Time,150,4,2.0
251,259,TCS,2024-08-12,2024-08-16,On Time,150,4,4.0
252,260,Daraz Express (DEX),2024-08-12,2024-08-14,On Time,150,3,2.0
253,261,Daraz Express (DEX),2024-08-14,2024-08-15,On Time,150,5,1.0
254,262,TCS,2024-08-14,2024-08-16,On Time,150,4,2.0
255,263,Daraz Express (DEX),2024-08-16,2024-08-17,On Time,150,4,1.0
256,264,Daraz Express (DEX),2024-08-16,2024-08-17,On Time,150,4,1.0
257,265,Daraz Express (DEX),2024-08-17,2024-08-18,Returned to Sender,150,2,1.0
258,266,TCS,2024-08-17,2024-08-19,On Time,150,3,2.0
259,267,Leopard Courier,2024-08-18,2024-08-26,Delayed,250,2,8.0
260,268,Daraz Express (DEX),2024-08-17,2024-08-19,On Time,150,4,2.0
261,269,Daraz Express (DEX),2024-08-17,2024-08-18,On Time,150,4,1.0
262,270,TCS,2024-08-19,2024-08-21,On Time,150,3,2.0
263,271,TCS,2024-08-18,2024-08-22,On Time,150,5,4.0
264,272,Leopard Courier,2024-08-19,2024-08-24,Delayed,150,2,5.0
265,273,TCS,2024-08-19,2024-08-21,On Time,150,4,2.0
266,274,Daraz Express (DEX),2024-08-21,2024-08-24,On Time,150,4,3.0
267,275,Daraz Express (DEX),2024-08-21,2024-08-22,On Time,150,5,1.0
268,276,TCS,2024-08-20,2024-08-27,On Time,250,4,7.0
269,277,Daraz Express (DEX),2024-08-22,2024-08-23,On Time,150,5,1.0
270,278,Daraz Express (DEX),2024-08-21,2024-08-22,On Time,150,4,1.0
271,279,Daraz Express (DEX),2024-08-23,2024-08-25,On Time,150,4,2.0
272,281,TCS,2024-08-25,2024-08-26,Returned to Sender,150,1,1.0
273,282,Daraz Express (DEX),2024-08-23,2024-08-25,On Time,150,4,2.0
274,283,TCS,2024-08-25,2024-08-29,Returned to Sender,150,1,4.0
275,284,Leopard Courier,2024-08-24,2024-08-27,On Time,150,5,3.0
276,285,Daraz Express (DEX),2024-08-23,2024-08-24,On Time,150,5,1.0
277,286,Daraz Express (DEX),2024-08-23,2024-08-26,On Time,150,4,3.0
278,287,Daraz Express (DEX),2024-08-23,2024-08-24,Returned to Sender,150,2,1.0
279,288,TCS,2024-08-24,2024-08-27,On Time,150,4,3.0
280,289,Leopard Courier,2024-08-24,2024-08-28,On Time,250,3,4.0
281,290,Daraz Express (DEX),2024-08-26,2024-08-28,Returned to Sender,150,1,2.0
282,291,Daraz Express (DEX),2024-08-24,2024-08-25,On Time,150,5,1.0
283,292,TCS,2024-08-26,2024-08-30,On Time,150,5,4.0
284,293,Leopard Courier,2024-08-27,2024-08-30,On Time,150,4,3.0
285,294,Daraz Express (DEX),2024-08-26,2024-08-27,On Time,150,5,1.0
286,295,TCS,2024-08-27,2024-09-01,On Time,250,4,5.0
287,296,Daraz Express (DEX),2024-08-27,2024-08-28,On Time,150,4,1.0
288,297,Daraz Express (DEX),2024-08-26,2024-08-28,On Time,150,4,2.0
289,298,Daraz Express (DEX),2024-08-25,2024-08-26,On Time,150,5,1.0
290,299,Daraz Express (DEX),2024-08-26,2024-08-29,On Time,150,4,3.0
291,300,Daraz Express (DEX),2024-08-26,2024-08-27,On Time,150,4,1.0
292,301,Leopard Courier,2024-08-28,2024-09-01,On Time,150,5,4.0
293,302,Daraz Express (DEX),2024-08-28,2024-08-29,On Time,150,5,1.0
294,303,Daraz Express (DEX),2024-08-29,2024-08-30,On Time,150,4,1.0
295,304,Daraz Express (DEX),2024-08-29,2024-08-30,On Time,150,4,1.0
296,305,TCS,2024-08-30,2024-08-31,Returned to Sender,150,3,1.0
297,306,TCS,2024-08-29,2024-09-01,On Time,150,4,3.0
298,307,Daraz Express (DEX),2024-08-29,2024-08-30,Returned to Sender,150,1,1.0
299,308,Daraz Express (DEX),2024-09-01,2024-09-03,On Time,150,5,2.0
300,309,Daraz Express (DEX),2024-09-05,2024-09-06,On Time,150,4,1.0
301,310,Daraz Express (DEX),2024-09-03,2024-09-06,On Time,150,4,3.0
302,311,Leopard Courier,2024-09-06,2024-09-11,Delayed,150,2,5.0
303,312,TCS,2024-09-05,2024-09-09,Returned to Sender,150,1,4.0
304,313,TCS,2024-09-05,2024-09-09,On Time,250,4,4.0
305,314,Daraz Express (DEX),2024-09-06,2024-09-07,On Time,150,5,1.0
306,315,Leopard Courier,2024-09-06,2024-09-09,On Time,150,5,3.0
307,316,Leopard Courier,2024-09-07,2024-09-09,On Time,150,5,2.0
308,317,Daraz Express (DEX),2024-09-08,2024-09-09,On Time,150,5,1.0
309,318,Daraz Express (DEX),2024-09-10,2024-09-12,On Time,150,4,2.0
310,319,TCS,2024-09-11,2024-09-12,On Time,150,4,1.0
311,320,TCS,2024-09-10,2024-09-16,On Time,250,4,6.0
312,321,Daraz Express (DEX),2024-09-11,2024-09-13,On Time,150,4,2.0
313,322,Daraz Express (DEX),2024-09-11,2024-09-12,On Time,150,4,1.0
314,323,TCS,2024-09-10,2024-09-13,On Time,150,4,3.0
315,324,Daraz Express (DEX),2024-09-13,2024-09-14,On Time,150,4,1.0
316,325,Daraz Express (DEX),2024-09-14,2024-09-15,On Time,150,4,1.0
317,326,Leopard Courier,2024-09-15,2024-09-17,On Time,150,4,2.0
318,327,Daraz Express (DEX),2024-09-13,2024-09-15,On Time,150,4,2.0
319,328,Daraz Express (DEX),2024-09-14,2024-09-15,Returned to Sender,150,1,1.0
320,329,TCS,2024-09-14,2024-09-18,On Time,150,4,4.0
321,330,TCS,2024-09-14,2024-09-16,Returned to Sender,150,1,2.0
322,332,Daraz Express (DEX),2024-09-17,2024-09-20,Returned to Sender,150,1,3.0
323,333,Daraz Express (DEX),2024-09-16,2024-09-17,On Time,150,4,1.0
324,334,Daraz Express (DEX),2024-09-16,2024-09-17,On Time,150,4,1.0
325,335,Daraz Express (DEX),2024-09-17,2024-09-18,On Time,150,5,1.0
326,336,Daraz Express (DEX),2024-09-18,2024-09-21,On Time,150,3,3.0
327,337,TCS,2024-09-18,2024-09-23,On Time,250,5,5.0
328,338,Daraz Express (DEX),2024-09-20,2024-09-21,On Time,150,4,1.0
329,339,TCS,2024-09-19,2024-09-20,On Time,150,4,1.0
330,340,TCS,2024-09-22,2024-09-24,On Time,150,4,2.0
331,341,Daraz Express (DEX),2024-09-20,2024-09-21,On Time,150,5,1.0
332,342,Daraz Express (DEX),2024-09-23,2024-09-27,On Time,250,4,4.0
333,343,Daraz Express (DEX),2024-09-21,2024-09-22,On Time,150,4,1.0
334,344,Daraz Express (DEX),2024-09-23,2024-09-24,On Time,150,5,1.0
335,345,Daraz Express (DEX),2024-09-24,2024-09-27,On Time,150,4,3.0
336,346,Daraz Express (DEX),2024-09-24,2024-09-27,On Time,150,4,3.0
337,347,Daraz Express (DEX),2024-09-24,2024-09-25,Returned to Sender,150,1,1.0
338,348,Daraz Express (DEX),2024-09-25,2024-09-27,Returned to Sender,150,1,2.0
339,349,Leopard Courier,2024-09-27,2024-09-29,Returned to Sender,150,1,2.0
340,350,Daraz Express (DEX),2024-09-28,2024-10-01,On Time,150,4,3.0
341,351,Daraz Express (DEX),2024-09-27,2024-09-28,On Time,150,4,1.0
342,352,TCS,2024-09-28,2024-09-29,On Time,150,5,1.0
343,353,TCS,2024-09-28,2024-10-02,On Time,150,5,4.0
344,354,Daraz Express (DEX),2024-09-26,2024-09-27,Returned to Sender,150,1,1.0
345,355,TCS,2024-09-27,2024-09-29,On Time,150,5,2.0
346,356,Leopard Courier,2024-09-28,2024-09-30,On Time,150,4,2.0
347,357,TCS,2024-09-30,2024-10-03,On Time,150,5,3.0
348,358,Daraz Express (DEX),2024-09-28,2024-09-29,On Time,150,5,1.0
349,359,TCS,2024-09-29,,On Time,150,5,
350,360,Daraz Express (DEX),2024-09-30,2024-10-02,On Time,150,4,2.0
351,361,Leopard Courier,2024-09-30,2024-10-02,On Time,150,5,2.0
352,362,Daraz Express (DEX),2024-09-30,2024-10-03,On Time,150,4,3.0
353,363,Daraz Express (DEX),2024-09-30,2024-10-06,Returned to Sender,250,1,6.0
