delivery_id,order_id,courier_partner,shipment_date,delivery_date,delivery_status,delivery_charges,customer_rating
50,53,TCS,2024-03-29 00:00:00,2024-03-30 00:00:00,On Time,150,4
51,54,TCS,2024-03-29 00:00:00,2024-04-01 00:00:00,On Time,150,5
52,55,Leopard Courier,2024-04-01 00:00:00,2024-04-06 00:00:00,Returned to Sender,150,1
53,56,TCS,2024-04-01 00:00:00,2024-04-03 00:00:00,On Time,150,4
54,57,Daraz Express (DEX),2024-03-30 00:00:00,2024-03-31 00:00:00,Returned to Sender,150,1
55,58,Daraz Express (DEX),2024-04-01 00:00:00,2024-04-02 00:00:00,Returned to Sender,150,1
56,59,TCS,2024-03-31 00:00:00,2024-04-03 00:00:00,On Time,150,5
57,60,Leopard Courier,2024-03-31 00:00:00,2024-04-02 00:00:00,On Time,150,4
58,61,Daraz Express (DEX),2024-03-31 00:00:00,2024-04-01 00:00:00,Returned to Sender,150,2
59,62,Daraz Express (DEX),2024-04-02 00:00:00,2024-04-04 00:00:00,Returned to Sender,150,3
60,63,Daraz Express (DEX),2024-04-04 00:00:00,2024-04-06 00:00:00,On Time,150,4
61,64,Daraz Express (DEX),2024-04-03 00:00:00,2024-04-04 00:00:00,On Time,150,4
62,65,Daraz Express (DEX),2024-04-02 00:00:00,2024-04-03 00:00:00,On Time,150,5
63,66,Daraz Express (DEX),2024-04-04 00:00:00,2024-04-07 00:00:00,Returned to Sender,150,1
64,67,TCS,2024-04-04 00:00:00,2024-04-06 00:00:00,On Time,150,4
65,68,Daraz Express (DEX),2024-04-07 00:00:00,2024-04-09 00:00:00,On Time,150,5
66,69,Daraz Express (DEX),2024-04-05 00:00:00,2024-04-06 00:00:00,Returned to Sender,150,1
67,70,Daraz Express (DEX),2024-04-07 00:00:00,2024-04-10 00:00:00,Returned to Sender,150,2
68,71,Daraz Express (DEX),2024-04-06 00:00:00,2024-04-08 00:00:00,On Time,150,5
69,72,Daraz Express (DEX),2024-04-08 00:00:00,2024-04-11 00:00:00,On Time,150,5
70,73,Leopard Courier,2024-04-08 00:00:00,2024-04-10 00:00:00,On Time,150,4
71,74,Daraz Express (DEX),2024-04-08 00:00:00,2024-04-10 00:00:00,On Time,150,4
72,75,Leopard Courier,2024-04-08 00:00:00,2024-04-13 00:00:00,Delayed,150,4
73,76,TCS,2024-04-09 00:00:00,2024-04-11 00:00:00,Returned to Sender,150,2
74,77,Daraz Express (DEX),2024-04-11 00:00:00,2024-04-13 00:00:00,Returned to Sender,150,3
75,78,Leopard Courier,2024-04-12 00:00:00,2024-04-16 00:00:00,On Time,150,4
76,79,Daraz Express (DEX),2024-04-12 00:00:00,2024-04-13 00:00:00,On Time,150,4
77,80,TCS,2024-04-12 00:00:00,2024-04-16 00:00:00,On Time,150,4
78,81,TCS,2024-04-10 00:00:00,2024-04-13 00:00:00,On Time,150,5
79,82,Daraz Express (DEX),2024-04-12 00:00:00,2024-04-14 00:00:00,On Time,150,4
80,83,Daraz Express (DEX),2024-04-13 00:00:00,2024-04-15 00:00:00,Returned to Sender,150,2
81,84,Daraz Express (DEX),2024-04-15 00:00:00,2024-04-18 00:00:00,On Time,150,4
82,85,TCS,2024-04-14 00:00:00,2024-04-17 00:00:00,On Time,150,4
83,86,Daraz Express (DEX),2024-04-14 00:00:00,2024-04-15 00:00:00,On Time,150,4
84,87,Leopard Courier,2024-04-14 00:00:00,2024-04-18 00:00:00,On Time,150,4
85,88,TCS,2024-04-16 00:00:00,2024-04-23 00:00:00,On Time,250,5
86,89,TCS,2024-04-18 00:00:00,2024-04-19 00:00:00,On Time,150,4
87,90,Daraz Express (DEX),2024-04-18 00:00:00,2024-04-19 00:00:00,On Time,150,4
88,91,Daraz Express (DEX),2024-04-18 00:00:00,2024-04-19 00:00:00,On Time,150,4
89,92,Daraz Express (DEX),2024-04-20 00:00:00,2024-04-22 00:00:00,On Time,150,4
90,93,Daraz Express (DEX),2024-04-22 00:00:00,2024-04-23 00:00:00,On Time,150,5
91,94,TCS,2024-04-22 00:00:00,2024-04-26 00:00:00,On Time,150,4
92,95,Daraz Express (DEX),2024-04-25 00:00:00,2024-04-26 00:00:00,On Time,150,5
93,96,Daraz Express (DEX),2024-04-25 00:00:00,2024-04-26 00:00:00,On Time,150,4
94,97,TCS,2024-04-26 00:00:00,2024-04-30 00:00:00,On Time,150,5
95,98,Daraz Express (DEX),2024-04-29 00:00:00,2024-05-02 00:00:00,On Time,150,4
96,99,Leopard Courier,2024-04-29 00:00:00,2024-05-03 00:00:00,On Time,150,5
97,100,Daraz Express (DEX),2024-04-30 00:00:00,2024-05-06 00:00:00,Returned to Sender,250,1
98,101,TCS,2024-04-30 00:00:00,2024-05-03 00:00:00,Returned to Sender,150,1
99,102,Daraz Express (DEX),2024-05-02 00:00:00,2024-05-04 00:00:00,Returned to Sender,150,1
100,103,Daraz Express (DEX),2024-05-02 00:00:00,2024-05-03 00:00:00,On Time,150,4
101,104,Daraz Express (DEX),2024-05-02 00:00:00,2024-05-03 00:00:00,On Time,150,3
102,105,TCS,2024-05-03 00:00:00,2024-05-06 00:00:00,On Time,150,4
103,106,Daraz Express (DEX),2024-05-04 00:00:00,2024-05-05 00:00:00,On Time,150,4
104,107,Daraz Express (DEX),2024-05-06 00:00:00,2024-05-07 00:00:00,On Time,150,5
105,108,Daraz Express (DEX),2024-05-07 00:00:00,2024-05-09 00:00:00,Returned to Sender,150,1
106,109,Daraz Express (DEX),2024-05-07 00:00:00,2024-05-10 00:00:00,On Time,150,5
107,110,Daraz Express (DEX),2024-05-07 00:00:00,2024-05-10 00:00:00,On Time,150,4
108,111,Daraz Express (DEX),2024-05-06 00:00:00,2024-05-08 00:00:00,On Time,150,4
109,112,Leopard Courier,2024-05-08 00:00:00,2024-05-13 00:00:00,Delayed,150,4
110,113,Daraz Express (DEX),2024-05-08 00:00:00,2024-05-10 00:00:00,On Time,150,4
111,114,Daraz Express (DEX),2024-05-10 00:00:00,2024-05-11 00:00:00,On Time,150,4
112,115,Daraz Express (DEX),2024-05-11 00:00:00,2024-05-14 00:00:00,On Time,150,5
113,116,TCS,2024-05-13 00:00:00,2024-05-15 00:00:00,Returned to Sender,150,2
114,117,Daraz Express (DEX),2024-05-12 00:00:00,2024-05-15 00:00:00,Returned to Sender,250,2
115,118,Daraz Express (DEX),2024-05-14 00:00:00,2024-05-17 00:00:00,On Time,150,5
116,119,Daraz Express (DEX),2024-05-13 00:00:00,2024-05-15 00:00:00,On Time,150,4
117,120,Daraz Express (DEX),2024-05-15 00:00:00,2024-05-16 00:00:00,On Time,150,5
118,121,TCS,2024-05-15 00:00:00,2024-05-21 00:00:00,On Time,250,4
119,122,Daraz Express (DEX),2024-05-16 00:00:00,2024-05-17 00:00:00,On Time,150,4
120,123,Daraz Express (DEX),2024-05-15 00:00:00,2024-05-16 00:00:00,On Time,150,4
121,124,Daraz Express (DEX),2024-05-17 00:00:00,2024-05-20 00:00:00,On Time,150,4
122,125,Daraz Express (DEX),2024-05-19 00:00:00,2024-05-22 00:00:00,On Time,150,4
123,126,Daraz Express (DEX),2024-05-19 00:00:00,2024-05-20 00:00:00,Returned to Sender,150,2
124,127,Leopard Courier,2024-05-22 00:00:00,2024-05-28 00:00:00,On Time,250,4
125,128,Daraz Express (DEX),2024-05-21 00:00:00,2024-05-28 00:00:00,On Time,250,4
126,129,TCS,2024-05-22 00:00:00,2024-05-28 00:00:00,On Time,250,4
127,130,Daraz Express (DEX),2024-05-23 00:00:00,2024-05-24 00:00:00,On Time,150,5
128,131,Daraz Express (DEX),2024-05-24 00:00:00,2024-05-25 00:00:00,On Time,150,3
129,132,Daraz Express (DEX),2024-05-27 00:00:00,2024-05-28 00:00:00,On Time,150,4
130,133,TCS,2024-05-25 00:00:00,2024-05-27 00:00:00,On Time,150,4
131,134,TCS,2024-05-26 00:00:00,2024-05-31 00:00:00,On Time,250,4
132,135,Leopard Courier,2024-05-27 00:00:00,2024-06-03 00:00:00,On Time,250,5
133,136,Daraz Express (DEX),2024-05-26 00:00:00,2024-05-27 00:00:00,On Time,150,4
134,137,Daraz Express (DEX),2024-05-28 00:00:00,2024-05-30 00:00:00,On Time,150,5
135,138,Daraz Express (DEX),2024-05-27 00:00:00,2024-05-28 00:00:00,On Time,150,4
136,139,Daraz Express (DEX),2024-05-26 00:00:00,2024-05-27 00:00:00,On Time,150,4
137,140,Daraz Express (DEX),2024-05-27 00:00:00,2024-05-28 00:00:00,On Time,150,4
138,141,TCS,2024-05-28 00:00:00,2024-06-01 00:00:00,On Time,150,5
139,142,Daraz Express (DEX),2024-05-28 00:00:00,2024-05-30 00:00:00,On Time,150,4
140,143,Daraz Express (DEX),2024-05-27 00:00:00,2024-05-30 00:00:00,On Time,150,5
141,144,Daraz Express (DEX),2024-05-29 00:00:00,2024-05-31 00:00:00,On Time,150,4
142,145,Leopard Courier,2024-05-30 00:00:00,2024-06-04 00:00:00,Delayed,150,4
143,146,Daraz Express (DEX),2024-05-30 00:00:00,2024-06-01 00:00:00,On Time,150,4
144,147,Daraz Express (DEX),2024-05-30 00:00:00,2024-05-31 00:00:00,On Time,150,4
145,148,Daraz Express (DEX),2024-05-31 00:00:00,2024-06-01 00:00:00,On Time,150,5
146,149,Daraz Express (DEX),2024-05-31 00:00:00,2024-06-02 00:00:00,On Time,150,4
147,150,Daraz Express (DEX),2024-06-02 00:00:00,2024-06-04 00:00:00,Returned to Sender,150,1
148,151,Daraz Express (DEX),2024-06-03 00:00:00,2024-06-04 00:00:00,On Time,150,4
149,152,TCS,2024-06-04 00:00:00,2024-06-06 00:00:00,On Time,150,5
150,153,TCS,2024-06-04 00:00:00,2024-06-05 00:00:00,On Time,150,4
151,154,Daraz Express (DEX),2024-06-04 00:00:00,2024-06-06 00:00:00,On Time,150,4
152,155,TCS,2024-06-04 00:00:00,2024-06-05 00:00:00,Returned to Sender,150,1
153,156,Daraz Express (DEX),2024-06-05 00:00:00,,On Time,150,4
154,157,Daraz Express (DEX),2024-06-06 00:00:00,2024-06-07 00:00:00,On Time,150,4
155,158,Daraz Express (DEX),2024-06-07 00:00:00,2024-06-08 00:00:00,On Time,150,4
156,159,Daraz Express (DEX),2024-06-07 00:00:00,2024-06-10 00:00:00,On Time,150,4
157,160,Daraz Express (DEX),2024-06-10 00:00:00,2024-06-12 00:00:00,On Time,150,4
158,161,Daraz Express (DEX),2024-06-09 00:00:00,2024-06-11 00:00:00,Returned to Sender,150,1
159,162,TCS,2024-06-09 00:00:00,2024-06-12 00:00:00,On Time,150,5
160,163,Leopard Courier,2024-06-12 00:00:00,2024-06-16 00:00:00,On Time,150,4
161,164,Daraz Express (DEX),2024-06-11 00:00:00,2024-06-12 00:00:00,On Time,150,4
162,165,Daraz Express (DEX),2024-06-13 00:00:00,2024-06-15 00:00:00,On Time,150,4
163,166,Daraz Express (DEX),2024-06-12 00:00:00,2024-06-13 00:00:00,On Time,150,5
164,167,Daraz Express (DEX),2024-06-15 00:00:00,2024-06-18 00:00:00,On Time,150,5
165,168,Daraz Express (DEX),2024-06-15 00:00:00,2024-06-16 00:00:00,On Time,150,5
166,169,Daraz Express (DEX),2024-06-15 00:00:00,2024-06-18 00:00:00,On Time,150,5
167,170,Daraz Express (DEX),2024-06-17 00:00:00,2024-06-19 00:00:00,On Time,150,5
168,171,Leopard Courier,2024-06-16 00:00:00,2024-06-26 00:00:00,Delayed,250,1
169,172,TCS,2024-06-15 00:00:00,2024-06-18 00:00:00,On Time,150,4
170,173,Leopard Courier,2024-06-18 00:00:00,2024-06-21 00:00:00,On Time,150,4
171,174,Daraz Express (DEX),2024-06-19 00:00:00,2024-06-21 00:00:00,On Time,150,4
172,175,TCS,2024-06-20 00:00:00,2024-06-24 00:00:00,On Time,150,5
173,176,Daraz Express (DEX),2024-06-19 00:00:00,2024-06-21 00:00:00,On Time,150,4
174,177,Daraz Express (DEX),2024-06-20 00:00:00,2024-06-21 00:00:00,On Time,150,4
175,178,TCS,2024-06-20 00:00:00,2024-06-22 00:00:00,On Time,150,3
176,179,Daraz Express (DEX),2024-06-22 00:00:00,2024-06-24 00:00:00,On Time,150,5
177,180,Daraz Express (DEX),2024-06-23 00:00:00,2024-06-26 00:00:00,On Time,150,4
178,181,Leopard Courier,2024-06-22 00:00:00,2024-06-26 00:00:00,On Time,150,3
179,182,Daraz Express (DEX),2024-06-25 00:00:00,2024-06-28 00:00:00,On Time,150,5
180,183,Leopard Courier,2024-06-25 00:00:00,2024-06-30 00:00:00,Delayed,150,3
181,184,TCS,2024-06-25 00:00:00,2024-06-27 00:00:00,On Time,150,4
182,185,Daraz Express (DEX),2024-06-27 00:00:00,2024-06-28 00:00:00,On Time,150,4
183,186,TCS,2024-06-28 00:00:00,2024-07-01 00:00:00,On Time,250,4
184,187,Daraz Express (DEX),2024-06-27 00:00:00,2024-06-29 00:00:00,Returned to Sender,150,1
185,188,TCS,2024-06-29 00:00:00,2024-07-02 00:00:00,Returned to Sender,150,2
186,189,Daraz Express (DEX),2024-06-29 00:00:00,2024-06-30 00:00:00,On Time,150,4
187,190,Daraz Express (DEX),2024-06-29 00:00:00,2024-06-30 00:00:00,On Time,150,4
188,192,Daraz Express (DEX),2024-07-01 00:00:00,,On Time,150,5
189,193,TCS,2024-07-03 00:00:00,2024-07-06 00:00:00,On Time,150,3
190,194,Daraz Express (DEX),2024-07-01 00:00:00,2024-07-02 00:00:00,On Time,150,4
191,196,TCS,2024-07-03 00:00:00,2024-07-06 00:00:00,On Time,150,5
192,197,Daraz Express (DEX),2024-07-02 00:00:00,2024-07-03 00:00:00,On Time,150,3
193,198,Daraz Express (DEX),2024-07-03 00:00:00,2024-07-06 00:00:00,On Time,150,4
194,200,TCS,2024-07-05 00:00:00,2024-07-13 00:00:00,Delayed,250,1
195,201,Daraz Express (DEX),2024-07-06 00:00:00,2024-07-08 00:00:00,On Time,150,4
196,202,Daraz Express (DEX),2024-07-05 00:00:00,2024-07-06 00:00:00,On Time,150,5
197,203,TCS,2024-07-05 00:00:00,2024-07-07 00:00:00,On Time,150,5
198,204,TCS,2024-07-09 00:00:00,2024-07-13 00:00:00,On Time,150,5
199,206,Daraz Express (DEX),2024-07-07 00:00:00,2024-07-09 00:00:00,On Time,150,4
200,207,Daraz Express (DEX),2024-07-07 00:00:00,2024-07-09 00:00:00,On Time,150,4
201,208,Daraz Express (DEX),2024-07-10 00:00:00,2024-07-13 00:00:00,Returned to Sender,150,1
202,209,TCS,2024-07-12 00:00:00,2024-07-14 00:00:00,On Time,150,4
203,210,Daraz Express (DEX),2024-07-12 00:00:00,2024-07-13 00:00:00,On Time,150,3
204,211,Daraz Express (DEX),2024-07-12 00:00:00,2024-07-13 00:00:00,On Time,150,5
205,212,Daraz Express (DEX),2024-07-11 00:00:00,2024-07-14 00:00:00,On Time,150,5
206,213,Daraz Express (DEX),2024-07-13 00:00:00,2024-07-14 00:00:00,On Time,150,4
207,214,Daraz Express (DEX),2024-07-13 00:00:00,2024-07-17 00:00:00,Returned to Sender,250,1
208,215,TCS,2024-07-15 00:00:00,2024-07-23 00:00:00,Delayed,250,4
209,216,Daraz Express (DEX),2024-07-17 00:00:00,2024-07-18 00:00:00,On Time,150,5
210,217,Daraz Express (DEX),2024-07-15 00:00:00,2024-07-17 00:00:00,On Time,150,4
211,218,Leopard Courier,2024-07-16 00:00:00,2024-07-19 00:00:00,On Time,150,5
212,219,Daraz Express (DEX),2024-07-17 00:00:00,2024-07-18 00:00:00,On Time,150,5
213,220,TCS,2024-07-17 00:00:00,2024-07-20 00:00:00,Returned to Sender,150,2
214,221,Daraz Express (DEX),2024-07-19 00:00:00,2024-07-20 00:00:00,On Time,150,5
215,222,TCS,2024-07-20 00:00:00,2024-07-23 00:00:00,On Time,150,3
216,223,Daraz Express (DEX),2024-07-18 00:00:00,2024-07-21 00:00:00,On Time,150,4
217,224,Daraz Express (DEX),2024-07-18 00:00:00,2024-07-20 00:00:00,Returned to Sender,150,2
218,225,Daraz Express (DEX),2024-07-21 00:00:00,2024-07-22 00:00:00,On Time,150,5
219,226,Leopard Courier,2024-07-19 00:00:00,2024-07-24 00:00:00,Delayed,150,1
220,227,Daraz Express (DEX),2024-07-21 00:00:00,2024-07-23 00:00:00,On Time,150,4
221,228,Daraz Express (DEX),2024-07-22 00:00:00,2024-07-23 00:00:00,On Time,150,5
222,229,Daraz Express (DEX),2024-07-22 00:00:00,2024-07-23 00:00:00,Returned to Sender,150,2
223,230,TCS,2024-07-23 00:00:00,2024-07-27 00:00:00,On Time,150,3
224,231,TCS,2024-07-23 00:00:00,2024-07-26 00:00:00,On Time,150,4
225,232,TCS,2024-07-24 00:00:00,,On Time,150,4
226,233,Daraz Express (DEX),2024-07-25 00:00:00,2024-07-28 00:00:00,On Time,150,5
227,234,Daraz Express (DEX),2024-07-26 00:00:00,2024-07-27 00:00:00,On Time,150,4
228,235,Leopard Courier,2024-07-25 00:00:00,2024-07-29 00:00:00,On Time,150,4
229,236,Daraz Express (DEX),2024-07-24 00:00:00,2024-07-26 00:00:00,On Time,150,4
230,237,Daraz Express (DEX),2024-07-27 00:00:00,2024-07-28 00:00:00,On Time,150,4
231,238,Leopard Courier,2024-07-26 00:00:00,2024-08-02 00:00:00,On Time,250,4
232,239,TCS,2024-07-27 00:00:00,2024-07-31 00:00:00,On Time,250,4
233,240,Daraz Express (DEX),2024-07-29 00:00:00,2024-07-30 00:00:00,On Time,150,5
234,241,TCS,2024-07-30 00:00:00,2024-08-06 00:00:00,On Time,250,5
235,242,TCS,2024-07-29 00:00:00,2024-08-02 00:00:00,Returned to Sender,150,1
236,243,Daraz Express (DEX),2024-07-29 00:00:00,2024-07-30 00:00:00,On Time,150,3
237,244,TCS,2024-07-29 00:00:00,2024-08-01 00:00:00,On Time,150,5
238,245,Leopard Courier,2024-07-30 00:00:00,2024-08-03 00:00:00,On Time,150,3
239,246,Daraz Express (DEX),2024-08-01 00:00:00,2024-08-04 00:00:00,On Time,150,5
240,247,Daraz Express (DEX),2024-07-31 00:00:00,2024-08-03 00:00:00,On Time,150,4
241,248,Daraz Express (DEX),2024-08-02 00:00:00,2024-08-03 00:00:00,On Time,150,3
242,249,Daraz Express (DEX),2024-08-03 00:00:00,2024-08-04 00:00:00,On Time,150,4
243,250,Daraz Express (DEX),2024-08-02 00:00:00,2024-08-03 00:00:00,Returned to Sender,150,2
244,251,Daraz Express (DEX),2024-08-03 00:00:00,2024-08-05 00:00:00,Returned to Sender,150,2
245,252,Leopard Courier,2024-08-02 00:00:00,2024-08-07 00:00:00,Delayed,150,3
246,253,Daraz Express (DEX),2024-08-03 00:00:00,2024-08-06 00:00:00,On Time,150,5
247,255,Daraz Express (DEX),2024-08-07 00:00:00,2024-08-08 00:00:00,On Time,150,4
248,256,TCS,2024-08-06 00:00:00,2024-08-16 00:00:00,Delayed,250,1
249,257,Daraz Express (DEX),2024-08-06 00:00:00,2024-08-10 00:00:00,Returned to Sender,250,3
250,258,Leopard Courier,2024-08-12 00:00:00,2024-08-14 00:00:00,On Time,150,4
251,259,TCS,2024-08-12 00:00:00,2024-08-16 00:00:00,On Time,150,4
252,260,Daraz Express (DEX),2024-08-12 00:00:00,2024-08-14 00:00:00,On Time,150,3
253,261,Daraz Express (DEX),2024-08-14 00:00:00,2024-08-15 00:00:00,On Time,150,5
254,262,TCS,2024-08-14 00:00:00,2024-08-16 00:00:00,On Time,150,4
255,263,Daraz Express (DEX),2024-08-16 00:00:00,2024-08-17 00:00:00,On Time,150,4
256,264,Daraz Express (DEX),2024-08-16 00:00:00,2024-08-17 00:00:00,On Time,150,4
257,265,Daraz Express (DEX),2024-08-17 00:00:00,2024-08-18 00:00:00,Returned to Sender,150,2
258,266,TCS,2024-08-17 00:00:00,2024-08-19 00:00:00,On Time,150,3
259,267,Leopard Courier,2024-08-18 00:00:00,2024-08-26 00:00:00,Delayed,250,2
260,268,Daraz Express (DEX),2024-08-17 00:00:00,2024-08-19 00:00:00,On Time,150,4
261,269,Daraz Express (DEX),2024-08-17 00:00:00,2024-08-18 00:00:00,On Time,150,4
262,270,TCS,2024-08-19 00:00:00,2024-08-21 00:00:00,On Time,150,3
263,271,TCS,2024-08-18 00:00:00,2024-08-22 00:00:00,On Time,150,5
264,272,Leopard Courier,2024-08-19 00:00:00,2024-08-24 00:00:00,Delayed,150,2
265,273,TCS,2024-08-19 00:00:00,2024-08-21 00:00:00,On Time,150,4
266,274,Daraz Express (DEX),2024-08-21 00:00:00,2024-08-24 00:00:00,On Time,150,4
267,275,Daraz Express (DEX),2024-08-21 00:00:00,2024-08-22 00:00:00,On Time,150,5
268,276,TCS,2024-08-20 00:00:00,2024-08-27 00:00:00,On Time,250,4
269,277,Daraz Express (DEX),2024-08-22 00:00:00,2024-08-23 00:00:00,On Time,150,5
270,278,Daraz Express (DEX),2024-08-21 00:00:00,2024-08-22 00:00:00,On Time,150,4
271,279,Daraz Express (DEX),2024-08-23 00:00:00,2024-08-25 00:00:00,On Time,150,4
272,281,TCS,2024-08-25 00:00:00,2024-08-26 00:00:00,Returned to Sender,150,1
273,282,Daraz Express (DEX),2024-08-23 00:00:00,2024-08-25 00:00:00,On Time,150,4
274,283,TCS,2024-08-25 00:00:00,2024-08-29 00:00:00,Returned to Sender,150,1
275,284,Leopard Courier,2024-08-24 00:00:00,2024-08-27 00:00:00,On Time,150,5
276,285,Daraz Express (DEX),2024-08-23 00:00:00,2024-08-24 00:00:00,On Time,150,5
277,286,Daraz Express (DEX),2024-08-23 00:00:00,2024-08-26 00:00:00,On Time,150,4
278,287,Daraz Express (DEX),2024-08-23 00:00:00,2024-08-24 00:00:00,Returned to Sender,150,2
279,288,TCS,2024-08-24 00:00:00,2024-08-27 00:00:00,On Time,150,4
280,289,Leopard Courier,2024-08-24 00:00:00,2024-08-28 00:00:00,On Time,250,3
281,290,Daraz Express (DEX),2024-08-26 00:00:00,2024-08-28 00:00:00,Returned to Sender,150,1
282,291,Daraz Express (DEX),2024-08-24 00:00:00,2024-08-25 00:00:00,On Time,150,5
283,292,TCS,2024-08-26 00:00:00,2024-08-30 00:00:00,On Time,150,5
284,293,Leopard Courier,2024-08-27 00:00:00,2024-08-30 00:00:00,On Time,150,4
285,294,Daraz Express (DEX),2024-08-26 00:00:00,2024-08-27 00:00:00,On Time,150,5
286,295,TCS,2024-08-27 00:00:00,2024-09-01 00:00:00,On Time,250,4
287,296,Daraz Express (DEX),2024-08-27 00:00:00,2024-08-28 00:00:00,On Time,150,4
288,297,Daraz Express (DEX),2024-08-26 00:00:00,2024-08-28 00:00:00,On Time,150,4
289,298,Daraz Express (DEX),2024-08-25 00:00:00,2024-08-26 00:00:00,On Time,150,5
290,299,Daraz Express (DEX),2024-08-26 00:00:00,2024-08-29 00:00:00,On Time,150,4
291,300,Daraz Express (DEX),2024-08-26 00:00:00,2024-08-27 00:00:00,On Time,150,4
292,301,Leopard Courier,2024-08-28 00:00:00,2024-09-01 00:00:00,On Time,150,5
293,302,Daraz Express (DEX),2024-08-28 00:00:00,2024-08-29 00:00:00,On Time,150,5
